Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet
s218,true,S218,Flagship dual-18-inch vented subwoofer,"<p>The S218 is MAG Audio&#x27;s flagship dual-18 vented subwoofer, compatible with MAG&#x27;s Uni-Preset technology so it pairs out-of-the-box with any MAG Audio speaker.</p><ul><li><p>Flagship dual 18-inch vented subwoofer</p></li><li><p>Uni-Preset compatibility with the MAG range</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Configuration</td><td>Dual 18-inch vented</td></tr><tr><td>Peak SPL</td><td>146 dB</td></tr></tbody></table></figure>,,S218,mag-audio,audio,subwoofer,
sub-h28,true,Sub H28,Dual-18-inch hybrid-horn subwoofer,"<p>The Sub H28 is a passive hybrid-horn subwoofer using two high-power 18-inch neodymium woofers for high power handling and very high sensitivity, designed as the low-frequency companion to the HORNET 12 line array.</p><ul><li><p>Dual 18-inch neodymium hybrid-horn subwoofer</p></li><li><p>Very high sensitivity and output</p></li><li><p>Companion to the HORNET 12 line array</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 18-inch neodymium woofers</td></tr><tr><td>Peak SPL</td><td>up to 149.5 dB</td></tr></tbody></table></figure>,,Sub H28,mag-audio,audio,subwoofer,https://mag-audio.com/image/catalog/Subwoofer-series/Sub-H28.pdf
air-s15,true,AIR-S15,15-inch installation subwoofer,<p>The AIR-S15 is a 15-inch installation subwoofer with a compact enclosure and versatile mounting brackets for indoor and outdoor use (IP variant available).</p><ul><li><p>15-inch installation subwoofer</p></li><li><p>Versatile mounting brackets</p></li><li><p>IP variant for outdoor use</p></li></ul>,<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>15-inch with 4-inch voice coil</td></tr><tr><td>Nominal power</td><td>1000 W</td></tr><tr><td>Max SPL</td><td>136 dB</td></tr></tbody></table></figure>,,AIR-S15,mag-audio,audio,subwoofer,
air-s26a,true,AIR-S26A,Powered subcompact dual-6.5-inch installation subwoofer,"<p>The AIR-S26A is the powered version of the ultra-compact AIR-S26 installation subwoofer, using two 6.5-inch high-excursion woofers with a built-in Class-D amplifier in a low-profile IP54 enclosure.</p><ul><li><p>Powered subcompact dual 6.5-inch install subwoofer</p></li><li><p>Built-in Class-D amplifier</p></li><li><p>Low 16.5 cm profile; IP54 rated</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>2 x 6.5-inch high-excursion (1.75-inch VC)</td></tr><tr><td>Amplifier</td><td>Built-in Class-D, 600 W nominal</td></tr><tr><td>Max SPL</td><td>122 dB (half-space)</td></tr><tr><td>Weatherproofing</td><td>IP54</td></tr></tbody></table></figure>",,AIR-S26A,mag-audio,audio,subwoofer,
cluster-s15,true,Cluster S15,15-inch installation subwoofer for the Cluster series,"<p>The Cluster S15 is a vented-box installation subwoofer providing low-frequency support to the Cluster line array series, with integrated flying hardware.</p><ul><li><p>15-inch vented installation subwoofer</p></li><li><p>Integrated flying hardware</p></li><li><p>Low-frequency support for the Cluster series</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>15-inch with 4-inch voice coil</td></tr><tr><td>Nominal power</td><td>1000 W</td></tr><tr><td>Max SPL</td><td>136 dB</td></tr><tr><td>Frequency range</td><td>37-300 Hz</td></tr></tbody></table></figure>,,Cluster S15,mag-audio,audio,subwoofer,
io-6000,true,IO-6000,8-channel Class-D amplifier / system processor,"<p>The IO-6000 is an 8-channel Class-D amplifier and system processor on MAG&#x27;s DANA PRO DSP platform, with a full matrix router, EQ, delay, AES3 inputs, Web UI and preloaded MAG speaker presets.</p><ul><li><p>8 x 750 W RMS at 4 Ohm</p></li><li><p>DANA PRO DSP: matrix router, EQ, delay</p></li><li><p>Analog + up to 16 AES3 inputs; Web UI</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Channels</td><td>8 x 750 W RMS at 4 Ohm</td></tr><tr><td>Processing</td><td>DANA PRO DSP platform</td></tr><tr><td>Inputs</td><td>Analog + up to 16 AES3 digital</td></tr><tr><td>Format</td><td>Class-D, 2U</td></tr></tbody></table></figure>",,IO-6000,mag-audio,audio,amplifier,
io-8000,true,IO-8000,8-channel Class-D amplifier / system processor,"<p>The IO-8000 is an 8-channel Class-D amplifier and system processor on MAG&#x27;s DANA PRO DSP platform, with matrix routing, EQ, delay, AES3 inputs and a Web UI.</p><ul><li><p>8 x 1000 W RMS at 4 Ohm</p></li><li><p>DANA PRO DSP with matrix router and EQ</p></li><li><p>Analog + AES3 inputs; Web UI</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Channels</td><td>8 x 1000 W RMS at 4 Ohm</td></tr><tr><td>Processing</td><td>DANA PRO DSP platform</td></tr><tr><td>Format</td><td>Class-D, 2U</td></tr></tbody></table></figure>",,IO-8000,mag-audio,audio,amplifier,https://mag-audio.com/image/catalog/Electronics/IO-8000-datasheet.pdf
io-16000,true,IO-16000,8-channel high-power Class-D amplifier / processor,"<p>The IO-16000 is an 8-channel high-power Class-D amplifier and system processor on the DANA PRO DSP platform for large-scale systems.</p><ul><li><p>8 x 2000 W RMS at 4 Ohm</p></li><li><p>DANA PRO DSP processing</p></li><li><p>Class-D, 2U</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Channels</td><td>8 x 2000 W RMS at 4 Ohm</td></tr><tr><td>Processing</td><td>DANA PRO DSP platform</td></tr></tbody></table></figure>,,IO-16000,mag-audio,audio,amplifier,
iq-3000,true,IQ-3000,4-channel Class-D amplifier / system processor,"<p>The IQ-3000 is a 4-channel Class-D amplifier and system processor on MAG&#x27;s DANA PRO DSP platform.</p><ul><li><p>4 x 750 W at 4 Ohm</p></li><li><p>DANA PRO DSP processing</p></li><li><p>Class-D, 2U</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Channels</td><td>4 x 750 W at 4 Ohm</td></tr><tr><td>Processing</td><td>DANA PRO DSP platform</td></tr></tbody></table></figure>,,IQ-3000,mag-audio,audio,amplifier,
iq-4000,true,IQ-4000,4-channel Class-D amplifier / system processor,"<p>The IQ-4000 is a 4-channel Class-D amplifier and system processor on MAG&#x27;s DANA PRO DSP platform.</p><ul><li><p>4 x 1000 W at 4 Ohm</p></li><li><p>DANA PRO DSP processing</p></li><li><p>Class-D, 2U</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Channels</td><td>4 x 1000 W at 4 Ohm</td></tr><tr><td>Processing</td><td>DANA PRO DSP platform</td></tr></tbody></table></figure>,,IQ-4000,mag-audio,audio,amplifier,
