Slug,Title,Product Description,Thumbnail,Thumbnail:alt,Gallery
ftbg2402skip,FTBG2402SKIP,<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402skip/ftbg2402skip_01.png,"FTBG2402SKIP — Wizard Bronze IP gold small buttons, no camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402skip/ftbg2402skip_01.png
ftbg2403sipvc,FTBG2403SIPVC,"<p dir=""auto"">Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403sipvc/ftbg2403sipvc_01.png,"FTBG2403SIPVC — Wizard Bronze IP gold small 3 buttons, with camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403sipvc/ftbg2403sipvc_01.png
ftbg2403skip,FTBG2403SKIP,<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skip/ftbg2403skip_01.png,"FTBG2403SKIP — Wizard Bronze IP gold small 3 buttons, no camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skip/ftbg2403skip_01.png
ftbg2403skipvc,FTBG2403SKIPVC,"<p dir=""auto"">Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skipvc/ftbg2403skipvc_01.png,"FTBG2403SKIPVC — Wizard Bronze IP gold small 3 buttons, with camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skipvc/ftbg2403skipvc_01.png
ft30cc,FT30CC,"<h3>Description</h3><p>The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p>Apps from other parties can also be installed via the open android structure. Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><p><br></p><p>1. 10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.<br>2. Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.<br>3. Wall or table version.<br>4. Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.<br>5. Recordings of the visitor is stored on the internal HD and can be used later as evidence.<br>6. Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.<br>7. Voice assistance for handsfree control.<br>8. Four loudspeakers and 2 micros deliver an unparalleled audio experience.<br>9. Integrated SIPserver and hands-free phone with contacts list.<br>10. Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.<br>11. Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft30cc/ft30cc_01.png,FT30CC — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft30cc/ft30cc_01.png
ftbg30cc,FTBG30CC,"<h3>Description</h3><p>The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p>Apps from other parties can also be installed via the open android structure. Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><p><br></p><p>1. 10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.<br>2. Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.<br>3. Wall or table version.<br>4. Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.<br>5. Recordings of the visitor is stored on the internal HD and can be used later as evidence.<br>6. Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.<br>7. Voice assistance for handsfree control.<br>8. Four loudspeakers and 2 micros deliver an unparalleled audio experience.<br>9. Integrated SIPserver and hands-free phone with contacts list.<br>10. Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.<br>11. Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc/ftbg30cc_01.png,FTBG30CC — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc/ftbg30cc_01.png
ftbg30cc-ftbg30ccdesk,FTBG30CC + FTBG30CCDESK,"<h3>Description</h3><p>The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p><br></p><p>Apps from other parties can also be installed via the open android structure.<br><br></p><p>Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li></ul><p><br></p><ul><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li></ul><p><br></p><ul><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><p><br></p><p>1. 10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.</p><ul><li data-preset-tag=""p""><p>2. Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li><li data-preset-tag=""p""><p>3. Wall or table version.</p></li><li data-preset-tag=""p""><p>4. Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.</p></li><li data-preset-tag=""p""><p>5. Recordings of the visitor is stored on the internal HD and can be used later as evidence.</p></li><li data-preset-tag=""p""><p>6. Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.</p></li></ul><p><br></p><ul><li data-preset-tag=""p""><p>7. Voice assistance for handsfree control.</p></li><li data-preset-tag=""p""><p>8. Four loudspeakers and 2 micros deliver an unparalleled audio experience.</p></li><li data-preset-tag=""p""><p>9. Integrated SIPserver and hands-free phone with contacts list.</p></li><li data-preset-tag=""p""><p>10. Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.</p></li><li data-preset-tag=""p""><p>11. Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li></ul>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc-ftbg30ccdesk/ftbg30cc-ftbg30ccdesk_01.png,FTBG30CC + FTBG30CCDESK — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc-ftbg30ccdesk/ftbg30cc-ftbg30ccdesk_01.png
ftbr30cc,FTBR30CC,"<p dir=""auto"">The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p dir=""auto"">Apps from other parties can also be installed via the open android structure. Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul dir=""auto""><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><ol dir=""auto""><li data-preset-tag=""p""><p>10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.</p></li><li data-preset-tag=""p""><p>Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li><li data-preset-tag=""p""><p>Wall or table version.</p></li><li data-preset-tag=""p""><p>Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.</p></li><li data-preset-tag=""p""><p>Recordings of the visitor is stored on the internal HD and can be used later as evidence.</p></li><li data-preset-tag=""p""><p>Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.</p></li><li data-preset-tag=""p""><p><br></p></li><li data-preset-tag=""p""><p>Voice assistance for handsfree control.</p></li><li data-preset-tag=""p""><p>Four loudspeakers and 2 micros deliver an unparalleled audio experience.</p></li><li data-preset-tag=""p""><p>Integrated SIPserver and hands-free phone with contacts list.</p></li><li data-preset-tag=""p""><p>Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.</p></li><li data-preset-tag=""p""><p>Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li></ol>",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr30cc/ftbr30cc_01.png,FTBR30CC — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr30cc/ftbr30cc_01.png
ft600vk,FT600VK Kit (without keypad),"The FT600VK is a plug & play doorphone entry video kit with a 1-button intercom (camera, no keypad), both flush- and surface-mountable (216x116mm), bundled with a 7"" Wi-Fi monitor, 4 app licences and a PoE switch. The outpost is built from black-anodized aluminium finished with real glass, offering a classy look at a budget-friendly price.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vk/ft600vk_01.png,"FT600VK Kit (without keypad) — Plug & play video kit: 1-button intercom + 7"" monitor + PoE switch","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vk/ft600vk_01.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vk/ft600vk_02.png"
ft600vkk,FT600VKK Kit (with keypad),"The FT600VKK is a plug & play doorphone entry video kit with a 1-button intercom plus integrated keypad and camera, both flush- and surface-mountable (216x116mm), bundled with a 7"" Wi-Fi monitor, 4 app licences and a PoE switch. The outpost is black-anodized aluminium finished with real glass, offering a classy yet budget-friendly solution.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vkk/ft600vkk_01.png,"FT600VKK Kit (with keypad) — Plug & play video kit: 1-button + keypad intercom + 7"" monitor + PoE","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vkk/ft600vkk_01.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vkk/ft600vkk_02.png"
ft600w,FT600W,"The FT600W is an indoor control panel with Wi-Fi for Fasttel intercom systems, featuring a bright 7"" touchscreen at 800x480p. It can be powered via a 12V adapter or by PoE over the network cable, and includes a built-in microphone and speaker.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600w/ft600w_01.png,"FT600W — 7"" Wi-Fi indoor monitor / control panel for Fasttel intercoms",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600w/ft600w_01.png
ft600,FT600,"The FT600 is an intercom with 2 SIP accounts, black anodized, and has 1 push button. The supplied housing allows the device to be placed both on- and flush-mounted (216x116mm). Part of the FT600 Entry series of outdoor stations.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600/ft600_01.png,"FT600 — Entry intercom, 2 SIP accounts, 1 push button, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600/ft600_01.png
ft600m,FT600-M,"The FT600-M is an intercom with 2 SIP accounts, black anodized, and has 1 push button. It uses the medium 263x154mm front plate. Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600m/ft600m_01.png,"FT600-M — Entry intercom, medium plate, 1 push button, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600m/ft600m_01.png
ft600l,FT600-L,"The FT600-L is an intercom with 2 SIP accounts, black anodized, and has 1 push button. It uses the large 349x154mm front plate. Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600l/ft600l_01.png,"FT600-L — Entry intercom, large plate, 1 push button, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600l/ft600l_01.png
ft6002,FT600-2,"The FT600-2 is an intercom with 2 SIP accounts, black anodized, and has 2 push buttons. The supplied housing allows the device to be placed both on- and flush-mounted (216x116mm). Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6002/ft6002_01.png,"FT600-2 — Entry intercom, 2 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6002/ft6002_01.png
ft6003,FT600-3,"The FT600-3 is an intercom with 2 SIP accounts, black anodized, and has 3 push buttons. The supplied housing allows the device to be placed both on- and flush-mounted (216x116mm). Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6003/ft6003_01.png,"FT600-3 — Entry intercom, 3 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6003/ft6003_01.png
ft6004,FT600-4,"The FT600-4 is an intercom with 2 SIP accounts, black anodized, and has 4 push buttons. The supplied housing allows the device to be placed both on- and flush-mounted (216x116mm). Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6004/ft6004_01.png,"FT600-4 — Entry intercom, 4 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6004/ft6004_01.png
ft6005,FT600-5,"The FT600-5 is an intercom with 2 SIP accounts, black anodized, with 5 push buttons. The supplied housing allows the device to be placed both on- and flush-mounted (216x116mm). Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6005/ft6005_01.png,"FT600-5 — Entry intercom, 5 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6005/ft6005_01.png
ft600k,FT600K,"The FT600K is an intercom with 2 SIP accounts, black anodized, and has 1 push button plus a keypad. The supplied housing allows the device to be placed both on- and flush-mounted (216x116mm). Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600k/ft600k_01.png,"FT600K — Entry intercom, 1 button + keypad, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600k/ft600k_01.png
ft600kl,FT600K-L,"The FT600K-L is an intercom with 2 SIP accounts, black anodized, and has 1 push button plus a keypad, on the large 349x154mm front plate. Part of the FT600 Entry series.",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kl/ft600kl_01.png,"FT600K-L — Entry intercom, large plate, 1 button + keypad, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kl/ft600kl_01.png
