Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet
dfb,false,DFB,,<p>DML500 Flyware Bar</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/dfb/dfb_main.png,DFB,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/dfb/dfb_datasheet.pdf
lsb,false,LSB,,<p>LS Series Subwoofer Flyware Bar</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/lsb/lsb_main.png,LSB,flat-panel-audio,audio,subwoofer,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/lsb/lsb_datasheet.pdf
vesa,false,VESA,,<p>VESA Adapter for 200 x 200</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/vesa/vesa_main.png,VESA,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/vesa/vesa_datasheet.pdf
grl-scx-b,false,GRL SCX.B,,<p>Grille for SCENIX (black cloth on wood frame) - Sold Separately</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-scx-b/grl-scx-b_main.png,GRL SCX.B,krix,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-scx-b/grl-scx-b_datasheet.pdf
grl-phn-i-b,false,GRL PHN.I.B,,"<p>GRILLE, PHONIX IN-WALL</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-phn-i-b/grl-phn-i-b_main.png,GRL PHN.I.B,krix,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-phn-i-b/grl-phn-i-b_datasheet.pdf
grl-c11-b,false,GRL C11.B,,<p>Cyclonix 11 Black cloth on wood frame</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c11-b/grl-c11-b_main.png,GRL C11.B,krix,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c11-b/grl-c11-b_datasheet.pdf
grl-mgp-i-b,false,GRL MGP.I.B,,"<p>GRILLE, MEGAPHONIX-IN-WALL Black</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-mgp-i-b/grl-mgp-i-b_main.png,GRL MGP.I.B,krix,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-mgp-i-b/grl-mgp-i-b_datasheet.pdf
grl-c12-b,false,GRL C12.B,,<p>Cyclonix 12 Black cloth on wood frame</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c12-b/grl-c12-b_main.png,GRL C12.B,krix,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c12-b/grl-c12-b_datasheet.pdf
vpm,false,VPM,,<p>Vertical Pipe Mount for 1.5 inch NPT</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/vpm/vpm_main.png,VPM,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/vpm/vpm_datasheet.pdf
grl-c15-b,false,GRL C15.B,,<p>Grille (black cloth on wood frame) - Sold Separately</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c15-b/grl-c15-b_main.png,GRL C15.B,krix,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c15-b/grl-c15-b_datasheet.pdf
pma,false,PMA,,<p>Adapts DML500 to a standard speaker pole</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/pma/pma_main.png,PMA,flat-panel-audio,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/pma/pma_datasheet.pdf
grl-c18-b,false,GRL C18.B,,<p>Grille (black cloth on wood frame) - Sold Separately</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c18-b/grl-c18-b_main.png,GRL C18.B,krix,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/grl-c18-b/grl-c18-b_datasheet.pdf
282d10p,false,282D10P,,<p>Designer Emitter 10 Pack</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/282d10p/282d10p_main.png,282D10P,nice,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/282d10p/282d10p_datasheet.pdf
sbdv12,false,SBDV12,,"<p>Bracket to secure two DV12s in a vertical array when stacked, set of two, black powder coated aluminum</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/sbdv12/sbdv12_main.png,SBDV12,bassboss,audio,speaker,
hb2,false,HB2,,<p>Bar for flying LS212 Sub from DML500</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/hb2/hb2_main.png,HB2,flat-panel-audio,audio,subwoofer,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/hb2/hb2_datasheet.pdf
el-sw-nva-r,false,EL-SW-NVA-R,,<p>Nice Voice Assistant (1-year renewal of EL-SW-NVA-S)</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-sw-nva-r/el-sw-nva-r_main.png,EL-SW-NVA-R,nice,audio,speaker,
el-sw-nva-s,false,EL-SW-NVA-S,,<p>Nice Voice Assistant (1-year Subscription)</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-sw-nva-s/el-sw-nva-s_main.png,EL-SW-NVA-S,nice,audio,speaker,
aim272,false,AIM272,,"<p>7 in 2-way In-Ceiling Speaker w/ Glass Fiber Woofer, Silk Dome ARC Tweeter Array</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/aim272/aim272_main.png,AIM272,nice,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/aim272/aim272_datasheet.pdf
hb1,false,HB1,,<p>Bar for flying LS118 Sub from DML500</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/hb1/hb1_main.png,HB1,flat-panel-audio,audio,subwoofer,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/hb1/hb1_datasheet.pdf
dl85ke,false,DL85KE,,"<p>LCD/Cfl Proof Dinky Link Kit, Export</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/dl85ke/dl85ke_main.png,DL85KE,nice,audio,speaker,
el-ip-4ft-bk,false,EL-IP-4FT-BK,,<p>4MP Fixed Black Turret IP Camera</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-ip-4ft-bk/el-ip-4ft-bk_main.png,EL-IP-4FT-BK,nice,audio,speaker,
el-ip-4fb-bk,false,EL-IP-4FB-BK,,<p>4MP Fixed Black Bullet IP Camera</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-ip-4fb-bk/el-ip-4fb-bk_main.png,EL-IP-4FB-BK,nice,audio,speaker,
sc-aim252-mk3,false,SC-AIM252-MK3,,"<p>In Ceiling Speaker 5, 25 in Woofer, Silk Dome ARC Tweeter Array</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim252-mk3/sc-aim252-mk3_main.png,SC-AIM252-MK3,nice,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim252-mk3/sc-aim252-mk3_datasheet.pdf
wssp118,false,WSSP118,,"<p>Wheel dolly cart for SSP118 with foot pockets, 4 locking casters, 635 kg capacity, bed liner coated</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wssp118/wssp118_main.png,WSSP118,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wssp118/wssp118_datasheet.pdf
sc-rs6-granite,false,SC-RS6-GRANITE,,"<p>Outdoor Rock Speaker 6"" W, 150W, Granite</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-granite/sc-rs6-granite_main.png,SC-RS6-GRANITE,nice,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-granite/sc-rs6-granite_datasheet.pdf
sc-rs6-sandstone,false,SC-RS6-SANDSTONE,,"<p>Outdoor Rock Speaker 6"" W, 150W, Sandstone</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-sandstone/sc-rs6-sandstone_main.png,SC-RS6-SANDSTONE,nice,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-sandstone/sc-rs6-sandstone_datasheet.pdf
sc-rs6-shalebrown,false,SC-RS6-SHALEBROWN,,"<p>Outdoor Rock Speaker 6"" W, 150W, Shale Brown</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-shalebrown/sc-rs6-shalebrown_main.png,SC-RS6-SHALEBROWN,nice,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-shalebrown/sc-rs6-shalebrown_datasheet.pdf
sc-rs6-spcdk-grnt,false,SC-RS6-SPCDK GRNT,,"<p>Outdoor Rock Speaker 6 in W, 150W, Speckled Granite</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-spcdk-grnt/sc-rs6-spcdk-grnt_main.png,SC-RS6-SPCDK GRNT,nice,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs6-spcdk-grnt/sc-rs6-spcdk-grnt_datasheet.pdf
aim285,false,AIM285,,<p>8 in Two-Way In-Ceiling Speaker w/ Kevlar Woofer and Aluminum / Magnesium ARC Tweeter Array</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/aim285/aim285_main.png,AIM285,nice,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/aim285/aim285_datasheet.pdf
el-sw-100-pro,false,EL-SW-100-PRO,,<p>License for EL-SC-150 enables all the software features</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-sw-100-pro/el-sw-100-pro_main.png,EL-SW-100-PRO,nice,audio,speaker,
sc-aim272-mk3,false,SC-AIM272-MK3,,"<p>In Ceiling Speaker 7 in Woofer, Silk Dome ARC Tweeter Array</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim272-mk3/sc-aim272-mk3_main.png,SC-AIM272-MK3,nice,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim272-mk3/sc-aim272-mk3_datasheet.pdf
dl95k,false,DL95K,,<p>Universal Dinky Link Extended Range IR Kit</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/dl95k/dl95k_main.png,DL95K,nice,audio,speaker,
cxp-t3877954,false,CXP-T3877954,,<p>FPA Amplifier Rear Patch Panel</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/cxp-t3877954/cxp-t3877954_main.png,CXP-T3877954,flat-panel-audio,audio,amplifier,
wvs21h,false,WVS21H,,"<p>Wheel dolly cart for VS21 horizontal, stackable, 4 locking casters, 635 kg capacity</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wvs21h/wvs21h_main.png,WVS21H,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wvs21h/wvs21h_datasheet.pdf
wvs21v,false,WVS21V,,"<p>Wheel dolly cart for VS21 vertical, one cabinet per cart, 4 locking casters, 635 kg capacity</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wvs21v/wvs21v_main.png,WVS21V,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wvs21v/wvs21v_datasheet.pdf
cmp-aq-b,false,CMP AQ.B,,"<p>Weather resistance withstands Australian conditions Great sound with effortless bass Impressive outdoor entertaining, power handling: 20-100 WRMS</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/cmp-aq-b/cmp-aq-b_main.png,CMP AQ.B,krix,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/cmp-aq-b/cmp-aq-b_datasheet.pdf
cmp-aq-w,false,CMP AQ.W,,"<p>Weather resistance withstands Australian conditions Great sound with effortless bass Impressive outdoor entertaining, power handling: 20-100 WRMS</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/cmp-aq-w/cmp-aq-w_main.png,CMP AQ.W,krix,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/krix/cmp-aq-w/cmp-aq-w_datasheet.pdf
makara-v-wc,false,Makara-V-WC,,"<p>Makara wheel cart vertical, one cabinet per cart, 4 locking casters</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/makara-v-wc/makara-v-wc_main.png,Makara-V-WC,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/makara-v-wc/makara-v-wc_datasheet.pdf
wssp218,false,WSSP218,,"<p>Wheel cart for SSP218 with foot pockets, stackable, 4 locking casters, 635 kg capacity</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wssp218/wssp218_main.png,WSSP218,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wssp218/wssp218_datasheet.pdf
wzv28v,false,WZV28V,,"<p>Wheel cart for ZV28 vertical, one cabinet per cart, 4 locking casters, 635 kg capacity</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wzv28v/wzv28v_main.png,WZV28V,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wzv28v/wzv28v_datasheet.pdf
outdoor-oe8-three-bl,false,Outdoor OE8 Three BL,,"<p>Indoor/Outdoor Speaker 8 in W & 1 in T, BL</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/outdoor-oe8-three-bl/outdoor-oe8-three-bl_main.png,Outdoor OE8 Three BL,nice,audio,outdoor,
outdoor-oe8-three-wh,false,Outdoor OE8 Three WH,,"<p>Indoor/Outdoor Speaker 8"" W & 1"" T, WH</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/outdoor-oe8-three-wh/outdoor-oe8-three-wh_main.png,Outdoor OE8 Three WH,nice,audio,outdoor,
sc-aim282-mk3,false,SC-AIM282-MK3,,"<p>In Ceiling Speaker 8 in Woofer, Silk Dome ARC Tweeter Array</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim282-mk3/sc-aim282-mk3_main.png,SC-AIM282-MK3,nice,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim282-mk3/sc-aim282-mk3_datasheet.pdf
sc-ps6si-concrete,false,SC-PS6Si-CONCRETE,,"<p>DVC/SST Outdoor Planter Speaker 6 in W, 100W, Concrete</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-ps6si-concrete/sc-ps6si-concrete_main.png,SC-PS6Si-CONCRETE,nice,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-ps6si-concrete/sc-ps6si-concrete_datasheet.pdf
el-sw-nvr,false,EL-SW-NVR,,<p>License for controllers enables the 4ch software-based NVR</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-sw-nvr/el-sw-nvr_main.png,EL-SW-NVR,nice,control-system,,
itp-8-rbkt-bk,false,ITP-8-RBKT-BK,,<p>Flush Mount Retro Kit for ITP-8 in Black</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-8-rbkt-bk/itp-8-rbkt-bk_main.png,ITP-8-RBKT-BK,nice,audio,speaker,
itp-8-rbkt-wh,false,ITP-8-RBKT-WH,,<p>Flush Mount Retro Kit for ITP-8 in White</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-8-rbkt-wh/itp-8-rbkt-wh_main.png,ITP-8-RBKT-WH,nice,audio,speaker,
c212,false,C212,,<p>Padded Slip Cover with FlatPanel Audio logo</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/flat-panel-audio/c212/c212_main.png,C212,flat-panel-audio,audio,speaker,
sc-rs8si-spckd-grnt,false,SC-RS8Si-SPCKD GRNT,,"<p>DVC/SST Outdoor Rock Speaker 8 in W, 200W, Speckled Granite</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs8si-spckd-grnt/sc-rs8si-spckd-grnt_main.png,SC-RS8Si-SPCKD GRNT,nice,audio,outdoor,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-rs8si-spckd-grnt/sc-rs8si-spckd-grnt_datasheet.pdf
el-ip-8ft-bk,false,EL-IP-8FT-BK,,<p>8MP Fixed Black Turret IP Camera</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-ip-8ft-bk/el-ip-8ft-bk_main.png,EL-IP-8FT-BK,nice,audio,speaker,
sc-aim275-mk3,false,SC-AIM275-MK3,,"<p>In Ceiling Speaker 7"" Woofer & ARC Tweeter Array, Flangeless</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim275-mk3/sc-aim275-mk3_main.png,SC-AIM275-MK3,nice,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/sc-aim275-mk3/sc-aim275-mk3_datasheet.pdf
kraken-h-wc,false,Kraken-H-WC,,"<p>Kraken wheel dolly cart horizontal, stackable, 4 locking casters, 1400 lb capacity</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/kraken-h-wc/kraken-h-wc_main.png,Kraken-H-WC,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/kraken-h-wc/kraken-h-wc_datasheet.pdf
wzv28h,false,WZV28H,,"<p>Wheel cart for ZV28 horizontal, stackable, 4 locking casters, 635 kg capacity</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wzv28h/wzv28h_main.png,WZV28H,bassboss,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/bassboss/wzv28h/wzv28h_datasheet.pdf
itp-12-rbkt-bk,false,ITP-12-RBKT-BK,,<p>Flush Mount Retro Kit for ITP-12 in Black</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-12-rbkt-bk/itp-12-rbkt-bk_main.png,ITP-12-RBKT-BK,nice,audio,speaker,
itp-12-rbkt-wh,false,ITP-12-RBKT-WH,,<p>Flush Mount Retro Kit for ITP-12 in White</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/itp-12-rbkt-wh/itp-12-rbkt-wh_main.png,ITP-12-RBKT-WH,nice,audio,speaker,
gvsl,false,GVSL,,<p>Viewer Software License</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/gvsl/gvsl_main.png,GVSL,nice,audio,speaker,
el-hr10,true,EL-HR10,Wi-Fi Handheld Remote Control with Charging Station,"<p>{""nodes"":[{""type"":""PARAGRAPH"",""id"":""foo"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""The HR10 remote is the the ultimate single zone remote control. It features a 2.4” color LCD screen for easy operation with hard buttons for commonly used functions. Includes battery and charging station."",""decorations"":[{""type"":""COLOR"",""colorData"":{""foreground"":""rgb(63, 63, 70)""}}]}}],""paragraphData"":{""textStyle"":{""textAlignment"":""AUTO""},""indentation"":0}}],""metadata"":{""version"":1,""createdTimestamp"":""2022-12-19T17:56:18.279Z"",""updatedTimestamp"":""2022-12-19T17:56:18.279Z"",""id"":""8f83a635-75df-4350-b9f6-a239693530a2""},""documentStyle"":{}}</p>",,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-hr10/el-hr10_main.png,,,,,
el-ip-8fb-bk,false,EL-IP-8FB-BK,,<p>8MP Fixed Black Bullet IP Camera</p>,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/nice/el-ip-8fb-bk/el-ip-8fb-bk_main.png,EL-IP-8FB-BK,nice,audio,speaker,
