Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet
kx-4210,true,KX-4210,Dual-15-inch passive cinema subwoofer for Dolby Atmos,"<p>The KX-4210 is a passive high-performance commercial-cinema subwoofer with dual 15-inch drivers, specifically intended for Dolby Atmos cinemas where high maximum SPL is required to meet surround requirements.</p><ul><li><p>Dual 15-inch passive cinema subwoofer</p></li><li><p>Developed to meet Dolby Atmos surround SPL requirements</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency range</td><td>35Hz - 200Hz</td></tr><tr><td>Power</td><td>625 Watts AES</td></tr><tr><td>Sensitivity</td><td>104dB SPL (1W/1m, half space)</td></tr><tr><td>Impedance</td><td>4 Ohms nominal</td></tr></tbody></table></figure>",,KX-4210,krix,"cinema,audio","cinema,subwoofer",https://www.krix.com.au/wp-content/uploads/2017/12/KX-4210-Cinema-Specification-Sheet-004.pdf
kx-4240,true,KX-4240,Triple-15-inch passive cinema subwoofer for Dolby Atmos,"<p>The KX-4240 is a passive high-performance commercial-cinema subwoofer with triple 15-inch drivers, intended for Dolby Atmos cinemas where very high maximum SPL is required.</p><ul><li><p>Triple 15-inch passive cinema subwoofer</p></li><li><p>Developed for Dolby Atmos surround output</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>Triple 15-inch</td></tr></tbody></table></figure>,,KX-4240,krix,"cinema,audio","cinema,subwoofer",
kx-4290,true,KX-4290,Dolby Atmos surround subwoofer,<p>The KX-4290 is a commercial-cinema Dolby Atmos surround subwoofer designed for use in Dolby Atmos cinema installations.</p><ul><li><p>Commercial-cinema Dolby Atmos surround subwoofer</p></li></ul>,"<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency range</td><td>35Hz - 200Hz</td></tr><tr><td>Power</td><td>1250 Watts AES</td></tr><tr><td>Sensitivity</td><td>107dB SPL (1W/1m, half space)</td></tr><tr><td>Impedance</td><td>2 x 4 Ohms (dual 4-ohm inputs)</td></tr></tbody></table></figure>",,KX-4290,krix,"cinema,audio","cinema,subwoofer",
kx-4605,true,KX-4605,Lowline dual-18-inch passive cinema subwoofer,<p>The KX-4605 is a passive high-performance commercial-cinema subwoofer with dual 18-inch drivers in a lowline format suited to under-screen placement. The bass driver uses a 3-inch voice coil and large aggregate vent area for efficient low-frequency output at high power with minimal power compression and vent noise.</p><ul><li><p>Dual 18-inch lowline cinema subwoofer</p></li><li><p>3-inch voice coil bass driver</p></li><li><p>Large aggregate vent area for low power compression</p></li></ul>,<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>Dual 18-inch (3-inch voice coil)</td></tr><tr><td>Format</td><td>Lowline (under-screen)</td></tr></tbody></table></figure>,,KX-4605,krix,"cinema,audio","cinema,subwoofer",
kx-4610,true,KX-4610,Lowline dual-18-inch passive cinema subwoofer,"<p>The KX-4610 is a passive high-performance commercial-cinema subwoofer with dual 18-inch drivers in a lowline-format enclosure, ideally suited to being positioned under the screen. Measured per AES2-2012 and Dolby Atmos calculator compatible.</p><ul><li><p>Dual 18-inch lowline cinema subwoofer</p></li><li><p>Ideal for under-screen placement</p></li><li><p>AES2-2012 measured, Dolby Atmos calculator compatible</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency range</td><td>25Hz - 200Hz</td></tr><tr><td>Power</td><td>1600 Watts AES (max)</td></tr><tr><td>Sensitivity</td><td>106dB (2.83V at 1m, half space)</td></tr><tr><td>Impedance</td><td>4 Ohms nominal</td></tr></tbody></table></figure>",,KX-4610,krix,"cinema,audio","cinema,subwoofer",
kx-4610s,true,KX-4610S,Slimline dual-18-inch passive cinema subwoofer for behind-screen placement,"<p>The KX-4610S is the slimline version of the KX-4610 passive commercial-cinema subwoofer, with dual 18-inch drivers and a depth equal to Krix screen systems to aid positioning behind the screen.</p><ul><li><p>Dual 18-inch slimline cinema subwoofer</p></li><li><p>Depth matches Krix screen systems for behind-screen placement</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Drivers</td><td>Dual 18-inch</td></tr><tr><td>Format</td><td>Slimline (behind-screen)</td></tr></tbody></table></figure>,,KX-4610S,krix,"cinema,audio","cinema,subwoofer",
kx-5910,true,KX-5910,3-way cinema screen channel with dedicated midrange horn,"<p>The KX-5910 is a 3-way commercial-cinema screen channel with a dedicated midrange horn driven by a low-distortion 6-inch neodymium driver for dialogue intelligibility, in a mitred bass enclosure with Krix X-Bracing. Available in tri-amp (.T) and bi-amp (.B) crossover variants. Recommended maximum room depth 13m.</p><ul><li><p>3-way horn-loaded cinema screen channel</p></li><li><p>Dedicated midrange horn for dialogue intelligibility</p></li><li><p>X-braced bass enclosure; .T and .B variants</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Crossovers</td><td>350Hz, 1.6kHz</td></tr><tr><td>Power (AES)</td><td>LF 625W, MF 180W, HF 45W</td></tr><tr><td>Sensitivity</td><td>102dB (1W/1m, half space)</td></tr><tr><td>Impedance</td><td>8 Ohms nominal (minimum 7.2)</td></tr><tr><td>Dimensions</td><td>1427mm H x 570mm W x 325mm D</td></tr><tr><td>Weight</td><td>63kg total (LF 53kg, MF/HF 10kg)</td></tr></tbody></table></figure>",,KX-5910,krix,"cinema,audio","cinema,speaker",https://www.krix.com.au/wp-content/uploads/2018/06/KX-5910-Cinema-Specification-Sheet-005.pdf
kx-5920,true,KX-5920,3-way cinema screen system with dedicated midrange horn,<p>The KX-5920 is a 3-way commercial-cinema screen system shipped in two parts - a KX-2610 low-frequency component and a KX-3910 horn-system component. A dedicated midrange horn reproduces the vocal band for dialogue intelligibility.</p><ul><li><p>3-way cinema screen system (two-part: KX-2610 LF + KX-3910 horn)</p></li><li><p>Dedicated midrange horn for vocal-band clarity</p></li></ul>,"<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Crossovers</td><td>350Hz (low-mid), 1600Hz (mid-high)</td></tr><tr><td>Frequency range</td><td>32Hz - 19,000Hz (-6dB)</td></tr><tr><td>Sensitivity</td><td>104dB (2.83V/m, half space)</td></tr><tr><td>Impedance</td><td>8 Ohms</td></tr></tbody></table></figure>",,KX-5920,krix,"cinema,audio","cinema,speaker",
kx-5610,true,KX-5610,Compact 3-way cinema screen channel,"<p>The KX-5610 is a compact 3-way commercial-cinema screen channel with discrete LF, MF and HF sections, available in a bi-amp (.B) crossover variant.</p><ul><li><p>Compact 3-way cinema screen channel</p></li><li><p>Discrete LF/MF/HF sections</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Crossovers</td><td>350Hz, 1.6kHz</td></tr><tr><td>Power (AES, .B)</td><td>LF 625W, MF 180W, HF 45W</td></tr><tr><td>Sensitivity</td><td>102dB SPL (1W/1m, half space)</td></tr><tr><td>Impedance</td><td>8 Ohms nominal</td></tr></tbody></table></figure>",,KX-5610,krix,"cinema,audio","cinema,speaker",
kx-5720,true,KX-5720,Tilt-ready 3-way screen speaker for LED and solid-screen cinemas,"<p>The KX-5720 is a compact, tilt-ready 3-way commercial-cinema screen speaker designed for solid-screen and LED cinemas, with a tapered, slim enclosure for placement above or below the screen. It uses true constant-directivity high and midrange horns for precise localisation and even coverage.</p><ul><li><p>Tilt-ready 3-way screen speaker for above/below-screen install</p></li><li><p>Designed for LED and solid-screen cinemas</p></li><li><p>True constant-directivity high and midrange horns</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Configuration</td><td>3-way, constant-directivity horns</td></tr></tbody></table></figure>",,KX-5720,krix,"cinema,audio","cinema,speaker",
kx-5285,true,KX-5285,High-output 2-way cinema screen system with triple 15-inch bass,"<p>The KX-5285 is a high-output 2-way commercial-cinema screen system shipped in two parts - a KX-2640 low-frequency component and a KX-3250 horn-system component. It pairs triple 15-inch bass drivers with a 4-inch voice-coil compression driver on a Krix 90x40 constant-directivity horn, in an X-braced enclosure.</p><ul><li><p>High-output 2-way cinema screen system (two-part: KX-2640 LF + KX-3250 horn)</p></li><li><p>Triple 15-inch bass drivers</p></li><li><p>4-inch compression driver on 90x40 constant-directivity horn</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Bass drivers</td><td>3 x 380mm (15-inch) paper cone, 75mm (3-inch) edge-wound copper voice coil, dual aluminium shorting rings</td></tr><tr><td>HF driver</td><td>100mm (4-inch) ferrite compression driver, titanium diaphragm, 90x40 constant directivity</td></tr><tr><td>Alignment</td><td>Vented B4 tuned to 36Hz</td></tr><tr><td>Crossover (.B)</td><td>1kHz</td></tr><tr><td>Power (AES)</td><td>LF 950W, HF 130W</td></tr></tbody></table></figure>",,KX-5285,krix,"cinema,audio","cinema,speaker",
kx-5976,true,KX-5976,4-way (Quatrix) cinema screen system with UHF horn,"<p>The KX-5976 is a 4-way Quatrix commercial-cinema screen system with an X-bracing low-frequency enclosure and a UHF horn for high-frequency pattern control and extension, keeping all drivers within their piston range for dialogue intelligibility.</p><ul><li><p>4-way Quatrix cinema screen system</p></li><li><p>UHF horn for HF pattern control and extension</p></li><li><p>X-braced low-frequency enclosure</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Crossovers</td><td>LF 350Hz; MF 350Hz/1.6kHz; HF 1.6kHz/6kHz; UHF 6kHz</td></tr><tr><td>Power (AES)</td><td>LF 1250W, MF 180W, HF 130W, UHF 45W</td></tr><tr><td>Sensitivity</td><td>LF 105dB, MF 108dB, HF 111dB, UHF 102dB (1W/1m)</td></tr><tr><td>Dimensions</td><td>2533mm H x 1070mm W x 460mm D</td></tr><tr><td>Weight</td><td>135kg total</td></tr></tbody></table></figure>",,KX-5976,krix,"cinema,audio","cinema,speaker",https://cdn.prod.website-files.com/63e33686b480b80aa505edc2/64b8b0a7d72c7bde7a6db1d7_KX-5976-Cinema-Specification-Sheet-001.pdf
kx-5986,true,KX-5986,4-way (Quatrix) cinema screen system with UHF horn,"<p>The KX-5986 is a 4-way Quatrix commercial-cinema screen system with X-bracing and a UHF horn for improved high-frequency pattern control and extension. Offered in bi-amp (.B), tri-amp (.T) and full quad-amp (.Q) crossover variants.</p><ul><li><p>4-way Quatrix cinema screen system</p></li><li><p>UHF horn for HF pattern control</p></li><li><p>Bi-amp (.B), tri-amp (.T) and quad-amp (.Q) variants</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Sensitivity</td><td>.B 110dB; .Q LF 110 / MF 114 / HF 111 / UHF 102dB</td></tr><tr><td>Power (.B)</td><td>1250W continuous, 5000W peak (max input)</td></tr></tbody></table></figure>",,KX-5986,krix,"cinema,audio","cinema,speaker",
kx-5996,true,KX-5996,Flagship 4-way (Quatrix) cinema screen channel,"<p>The KX-5996 is one of the largest 4-way Quatrix screen channel speakers Krix has developed, adding an ultra-high-frequency horn to the patented horn arrays so all drivers operate within their piston range. Patented constant-directivity horn technology provides precision coverage. Offered as tri-amp (.T) and quad-amp (.Q).</p><ul><li><p>Flagship 4-way Quatrix cinema screen channel</p></li><li><p>Adds a UHF horn so all drivers stay in their piston range</p></li><li><p>Patented constant-directivity horns; .T and .Q variants</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Crossovers</td><td>350Hz / 1.6kHz / 6kHz</td></tr><tr><td>Power (AES)</td><td>LF 2500W, MF 360W, HF 130W, UHF 55W</td></tr><tr><td>Sensitivity</td><td>108dB SPL (1W/1m, half space)</td></tr><tr><td>Impedance</td><td>Nominal 4 / 8 / 8 Ohms</td></tr><tr><td>Dimensions</td><td>3600mm H x 1200mm W x 460mm D</td></tr><tr><td>Weight</td><td>274kg total (LF 210kg, MF/HF/UHF 64kg)</td></tr></tbody></table></figure>",,KX-5996,krix,"cinema,audio","cinema,speaker",
kx-1155,true,KX-1155,High-output horn-loaded cinema surround for Dolby Atmos,"<p>The KX-1155 is a high-output commercial-cinema surround with a true horn-loaded HF section using a patented constant-directivity HF horn coupled to a 1.75-inch voice-coil compression driver, plus dual 15-inch bass drivers. Developed to meet Dolby Atmos surround output requirements, with a 15-degree baffle angle.</p><ul><li><p>High-output horn-loaded cinema surround</p></li><li><p>Patented constant-directivity HF horn with compression driver</p></li><li><p>Dual 15-inch bass drivers; developed for Dolby Atmos</p></li></ul>",<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Frequency range</td><td>48Hz - 19kHz</td></tr><tr><td>Coverage</td><td>100 degrees H x 80 degrees V (-6dB avg 400Hz-12kHz)</td></tr><tr><td>Power</td><td>1000 Watts AES</td></tr><tr><td>Sensitivity</td><td>99dB (free space)</td></tr><tr><td>Impedance</td><td>4 Ohms nominal</td></tr><tr><td>Dimensions</td><td>1185mm H x 520mm W x 520mm D</td></tr><tr><td>Weight</td><td>55kg</td></tr></tbody></table></figure>,,KX-1155,krix,"cinema,audio","cinema,speaker",https://www.krix.com.au/wp-content/uploads/2017/12/KX-1155-Cinema-Specification-Sheet-005.pdf
kx-1152,true,KX-1152,Single-15-inch horn-loaded cinema surround,"<p>The KX-1152 is a commercial-cinema surround pairing a 35mm (1.4-inch) compression driver on a 90x40 constant-directivity horn with a single 15-inch bass driver, in an X-braced vented B4 enclosure tuned to 40Hz.</p><ul><li><p>Single 15-inch horn-loaded cinema surround</p></li><li><p>1.4-inch compression driver on 90x40 constant-directivity horn</p></li><li><p>X-braced vented B4 enclosure tuned to 40Hz</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Input power</td><td>500 Watts</td></tr><tr><td>Sensitivity</td><td>99dB (2.83V at 1m, half space)</td></tr><tr><td>Frequency range</td><td>48Hz - 19,000Hz</td></tr><tr><td>Dispersion</td><td>100 degrees H x 80 degrees V (-6dB avg 400Hz-12kHz)</td></tr></tbody></table></figure>",,KX-1152,krix,"cinema,audio","cinema,speaker",
kx-1470,true,KX-1470,Compact high-power-handling single-8-inch cinema surround,"<p>The KX-1470 is a compact commercial-cinema surround in a braced, critically damped cabinet with a 15-degree angled front baffle to optimise coverage and reduce ceiling reflections. It uses a single 8-inch bass driver with a 1.5-inch voice coil, and includes wall-mount provision.</p><ul><li><p>Compact high-power-handling cinema surround</p></li><li><p>15-degree angled baffle for coverage control</p></li><li><p>Single 8-inch bass driver; wall-mount provision</p></li></ul>","<figure><table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Driver</td><td>Single 8-inch (1.5-inch voice coil, copper shorting ring)</td></tr><tr><td>Input power</td><td>250 Watts</td></tr><tr><td>Impedance</td><td>8 Ohms</td></tr><tr><td>Baffle</td><td>15-degree angled</td></tr></tbody></table></figure>",,KX-1470,krix,"cinema,audio","cinema,speaker",
