Slug,Thumbnail,Thumbnail:alt,Gallery
ftbg2401sip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2401sip/ftbg2401sip_01.jpg,"FTBG2401SIP — Wizard Bronze IP gold small 1 button, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2401sip/ftbg2401sip_01.jpg
ftbg2402sip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sip/ftbg2402sip_01.jpg,"FTBG2402SIP — Wizard Bronze IP gold small 2 buttons, no camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sip/ftbg2402sip_01.jpg
ftbg2402sipvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sipvc/ftbg2402sipvc_01.jpg,"FTBG2402SIPVC — Wizard Bronze IP gold small 2 button, with camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sipvc/ftbg2402sipvc_01.jpg
ftbg2402skip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402skip/ftbg2402skip_01.jpg,"FTBG2402SKIP — Wizard Bronze IP gold small buttons, no camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402skip/ftbg2402skip_01.jpg
ftbg2403sipvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403sipvc/ftbg2403sipvc_01.jpg,"FTBG2403SIPVC — Wizard Bronze IP gold small 3 buttons, with camera, no keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403sipvc/ftbg2403sipvc_01.jpg
ftbg2403skip,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skip/ftbg2403skip_01.jpg,"FTBG2403SKIP — Wizard Bronze IP gold small 3 buttons, no camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skip/ftbg2403skip_01.jpg
ftbg2403skipvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skipvc/ftbg2403skipvc_01.jpg,"FTBG2403SKIPVC — Wizard Bronze IP gold small 3 buttons, with camera, with keypad",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skipvc/ftbg2403skipvc_01.jpg
ft30cc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft30cc/ft30cc_01.jpg,FT30CC — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft30cc/ft30cc_01.jpg
ftbg30cc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc/ftbg30cc_01.png,FTBG30CC — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc/ftbg30cc_01.png
ftbg30cc-ftbg30ccdesk,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc-ftbg30ccdesk/ftbg30cc-ftbg30ccdesk_01.png,FTBG30CC + FTBG30CCDESK — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc-ftbg30ccdesk/ftbg30cc-ftbg30ccdesk_01.png
ftbr30cc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr30cc/ftbr30cc_01.jpg,FTBR30CC — Indoor control panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr30cc/ftbr30cc_01.jpg
ft600vk,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vk/ft600vk_01.jpg,"FT600VK Kit (without keypad) — Plug & play video kit: 1-button intercom + 7"" monitor + PoE switch","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vk/ft600vk_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vk/ft600vk_02.webp"
ft600vkk,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vkk/ft600vkk_01.jpg,"FT600VKK Kit (with keypad) — Plug & play video kit: 1-button + keypad intercom + 7"" monitor + PoE","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vkk/ft600vkk_01.jpg, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vkk/ft600vkk_02.webp"
ft600w,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600w/ft600w_01.jpg,"FT600W — 7"" Wi-Fi indoor monitor / control panel for Fasttel intercoms",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600w/ft600w_01.jpg
ft600,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600/ft600_01.webp,"FT600 — Entry intercom, 2 SIP accounts, 1 push button, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600/ft600_01.webp
ft600m,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600m/ft600m_01.webp,"FT600-M — Entry intercom, medium plate, 1 push button, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600m/ft600m_01.webp
ft600l,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600l/ft600l_01.webp,"FT600-L — Entry intercom, large plate, 1 push button, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600l/ft600l_01.webp
ft6002,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6002/ft6002_01.webp,"FT600-2 — Entry intercom, 2 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6002/ft6002_01.webp
ft6003,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6003/ft6003_01.webp,"FT600-3 — Entry intercom, 3 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6003/ft6003_01.webp
ft6004,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6004/ft6004_01.webp,"FT600-4 — Entry intercom, 4 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6004/ft6004_01.webp
ft6005,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6005/ft6005_01.webp,"FT600-5 — Entry intercom, 5 push buttons, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft6005/ft6005_01.webp
ft600k,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600k/ft600k_01.webp,"FT600K — Entry intercom, 1 button + keypad, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600k/ft600k_01.webp
ft600kl,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kl/ft600kl_01.webp,"FT600K-L — Entry intercom, large plate, 1 button + keypad, no camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kl/ft600kl_01.webp
ft600vc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc/ft600vc_01.webp,"FT600VC — Entry videophone, 1 button + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc/ft600vc_01.webp
ft600vcm,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vcm/ft600vcm_01.webp,"FT600VC-M — Entry videophone, medium plate, 1 button + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vcm/ft600vcm_01.webp
ft600vcl,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vcl/ft600vcl_01.webp,"FT600VC-L — Entry videophone, large plate, 1 button + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vcl/ft600vcl_01.webp
ft600vc2,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc2/ft600vc2_01.webp,"FT600VC-2 — Entry videophone, 2 buttons + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc2/ft600vc2_01.webp
ft600vc3,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc3/ft600vc3_01.webp,"FT600VC-3 — Entry videophone, 3 buttons + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc3/ft600vc3_01.webp
ft600vc4,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc4/ft600vc4_01.webp,"FT600VC-4 — Entry videophone, 4 buttons + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc4/ft600vc4_01.webp
ft600vc5,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc5/ft600vc5_01.webp,"FT600VC-5 — Entry videophone, 5 buttons + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc5/ft600vc5_01.webp
ft600kvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kvc/ft600kvc_01.webp,"FT600KVC — Entry videophone, 1 button + keypad + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kvc/ft600kvc_01.webp
ft600kvcl,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kvcl/ft600kvcl_01.webp,"FT600KVC-L — Entry videophone, large plate, 1 button + keypad + camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600kvcl/ft600kvcl_01.webp
ft600vc22w,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc22w/ft600vc22w_01.webp,"FT600VC-2-2W — 2-wire entry videophone, 2 buttons + color camera",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vc22w/ft600vc22w_01.webp
ft600ana,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ana/ft600ana_01.webp,"FT600ANA — Analogue entry intercom, 1 button, black aluminium",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600ana/ft600ana_01.webp
ft800vc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800vc/ft800vc_01.webp,"FT800VC — Wizard Prestige videophone, color camera, black aluminium",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800vc/ft800vc_01.webp
ft800vcl,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800vcl/ft800vcl_01.webp,"FT800VC-L — Wizard Prestige videophone, color camera, large plate",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800vcl/ft800vcl_01.webp
ft800kvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800kvc/ft800kvc_01.webp,"FT800KVC — Wizard Prestige videophone, color camera + keypad, black alu",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800kvc/ft800kvc_01.webp
ft800kvcl,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800kvcl/ft800kvcl_01.webp,"FT800KVC-L — Wizard Prestige videophone, color camera + keypad, large plate",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft800kvcl/ft800kvcl_01.webp
ftbg800kvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg800kvc/ftbg800kvc_01.webp,"FTBG800KVC — Wizard Prestige, color camera + keypad, bronze gold",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg800kvc/ftbg800kvc_01.webp
ftbg800vc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg800vc/ftbg800vc_01.webp,"FTBG800VC — Wizard Prestige, color camera, bronze gold",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg800vc/ftbg800vc_01.webp
ftbm800kvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbm800kvc/ftbm800kvc_01.webp,"FTBM800KVC — Wizard Prestige, color camera + keypad, bronze fusil",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbm800kvc/ftbm800kvc_01.webp
ftbm800vc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbm800vc/ftbm800vc_01.webp,"FTBM800VC — Wizard Prestige, color camera, bronze fusil",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbm800vc/ftbm800vc_01.webp
ftbr800kvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr800kvc/ftbr800kvc_01.webp,"FTBR800KVC — Wizard Prestige, color camera + keypad, bronze rustic",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr800kvc/ftbr800kvc_01.webp
ftbr800vc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr800vc/ftbr800vc_01.webp,"FTBR800VC — Wizard Prestige, color camera, bronze rustic",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr800vc/ftbr800vc_01.webp
ftg800kvc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftg800kvc/ftg800kvc_01.webp,"FTG800KVC — Wizard Prestige, color camera + keypad, grey aluminium",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftg800kvc/ftg800kvc_01.webp
ftg800vc,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftg800vc/ftg800vc_01.webp,"FTG800VC — Wizard Prestige, color camera, grey aluminium",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftg800vc/ftg800vc_01.webp
ft9000,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft9000/ft9000_01.webp,FT9000 — Door controller for 4 doors with web/cloud access,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft9000/ft9000_01.webp
ft23k,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft23k/ft23k_01.webp,"FT23K — Stand-alone access keypad, 2 relays + Wiegand",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft23k/ft23k_01.webp
ft24k,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft24k/ft24k_01.webp,FT24K — Stand-alone access keypad (via FT25KINT) and Wiegand,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft24k/ft24k_01.webp
ft25k,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft25k/ft25k_01.webp,"FT25K — Access keypad in glass, stand-alone (via FT25KINT) and Wiegand",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft25k/ft25k_01.webp
ft26k,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft26k/ft26k_01.webp,"FT26K — Keypad / badge reader with Bluetooth, NFC, Wiegand and cloud",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft26k/ft26k_01.webp
ftemperor-v,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftemperor-v/ftemperor-v_01.webp,FTEMPEROR-V — Stainless steel base for the FTEMPEROR design column,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftemperor-v/ftemperor-v_01.webp
