Slug,:draft,Title,Sub Title,Product Description,Technical Table,Brand,Product Categories,Product Tags,Specsheet
cinematelier,false,CinemAtelier,CinemAtelier combines Garvan loudspeaker technology with acoustic panel integration.,"<h3 dir=""auto"">CinemAtelier integrated acoustic speaker solution</h3><p dir=""auto"">A Garvan system that combines acoustic treatment with loudspeaker integration, keeping the room visually clean while improving listening comfort.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>CinemAtelier</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/cinematelier/cinematelier_datasheet.pdf
ka112h,false,KA112H,KA112H CinemAtelier module for speaker integration inside decorative acoustic panels.,"<h3 dir=""auto"">KA112H integrated acoustic speaker solution</h3><p dir=""auto"">A Garvan system that combines acoustic treatment with loudspeaker integration, keeping the room visually clean while improving listening comfort.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KA112H</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/ka112h/ka112h_datasheet.pdf
ka213h,false,KA213H,KA213H CinemAtelier module for speaker integration inside decorative acoustic panels.,"<h3 dir=""auto"">KA213H integrated acoustic speaker solution</h3><p dir=""auto"">A Garvan system that combines acoustic treatment with loudspeaker integration, keeping the room visually clean while improving listening comfort.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KA213H</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/ka213h/ka213h_datasheet.pdf
ka313h,false,KA313H,KA313H CinemAtelier module for speaker integration inside decorative acoustic panels.,"<h3 dir=""auto"">KA313H integrated acoustic speaker solution</h3><p dir=""auto"">A Garvan system that combines acoustic treatment with loudspeaker integration, keeping the room visually clean while improving listening comfort.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KA313H</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/ka313h/ka313h_datasheet.pdf
ka316h,false,KA316H,KA316H CinemAtelier module for speaker integration inside decorative acoustic panels.,"<h3 dir=""auto"">KA316H integrated acoustic speaker solution</h3><p dir=""auto"">A Garvan system that combines acoustic treatment with loudspeaker integration, keeping the room visually clean while improving listening comfort.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KA316H</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/ka316h/ka316h_datasheet.pdf
ka320h,false,KA320H,KA320H CinemAtelier module for speaker integration inside decorative acoustic panels.,"<h3 dir=""auto"">KA320H integrated acoustic speaker solution</h3><p dir=""auto"">A Garvan system that combines acoustic treatment with loudspeaker integration, keeping the room visually clean while improving listening comfort.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KA320H</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/ka320h/ka320h_datasheet.pdf
ka520h,false,KA520H,KA520H CinemAtelier module for speaker integration inside decorative acoustic panels.,"<h3 dir=""auto"">KA520H integrated acoustic speaker solution</h3><p dir=""auto"">A Garvan system that combines acoustic treatment with loudspeaker integration, keeping the room visually clean while improving listening comfort.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KA520H</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Acoustic panel</td></tr></tbody></table>,garvan-acoustics,"cinema,audio",acoustic-sound-panels,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/ka520h/ka520h_datasheet.pdf
kb112,false,KB112,KB112 compact bookshelf loudspeaker with Garvan’s custom finish approach.,"<h3 dir=""auto"">KB112 bookshelf speaker</h3><p dir=""auto"">A compact Garvan bookshelf loudspeaker combining clean proportions, custom finishes and high-quality sound for stereo, multi-room and home cinema use.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KB112</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kb112/kb112_datasheet.pdf
kb213,false,KB213,KB213 compact bookshelf loudspeaker with Garvan’s custom finish approach.,"<h3 dir=""auto"">KB213 bookshelf speaker</h3><p dir=""auto"">A compact Garvan bookshelf loudspeaker combining clean proportions, custom finishes and high-quality sound for stereo, multi-room and home cinema use.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KB213</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kb213/kb213_datasheet.pdf
kb313,false,KB313,KB313 compact bookshelf loudspeaker with Garvan’s custom finish approach.,"<h3 dir=""auto"">KB313 bookshelf speaker</h3><p dir=""auto"">A compact Garvan bookshelf loudspeaker combining clean proportions, custom finishes and high-quality sound for stereo, multi-room and home cinema use.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KB313</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kb313/kb313_datasheet.pdf
kb316,false,KB316,KB316 compact bookshelf loudspeaker with Garvan’s custom finish approach.,"<h3 dir=""auto"">KB316 bookshelf speaker</h3><p dir=""auto"">A compact Garvan bookshelf loudspeaker combining clean proportions, custom finishes and high-quality sound for stereo, multi-room and home cinema use.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KB316</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kb316/kb316_datasheet.pdf
kb513,false,KB513,KB513 compact bookshelf loudspeaker with Garvan’s custom finish approach.,"<h3 dir=""auto"">KB513 bookshelf speaker</h3><p dir=""auto"">A compact Garvan bookshelf loudspeaker combining clean proportions, custom finishes and high-quality sound for stereo, multi-room and home cinema use.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KB513</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kb513/kb513_datasheet.pdf
kc216,false,KC216,KC216 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KC216 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KC216</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kc216/kc216_datasheet.pdf
kc316,false,KC316,KC316 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KC316 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KC316</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kc316/kc316_datasheet.pdf
kc416,false,KC416,KC416 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KC416 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KC416</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kc416/kc416_datasheet.pdf
kn116,false,KN116,KN116 suspended loudspeaker for open architectural spaces and design-led installations.,"<h3 dir=""auto"">KN116 suspended speaker</h3><p dir=""auto"">A suspended Garvan loudspeaker for open interiors where audio performance, visibility and design presence need to work together.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KN116</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kn116/kn116_datasheet.pdf
kr107,false,KR107,KR107 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR107 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR107</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr107/kr107_datasheet.pdf
kr108,false,KR108,KR108 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR108 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR108</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr108/kr108_datasheet.pdf
kr111,false,KR111,KR111 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR111 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR111</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr111/kr111_datasheet.pdf
kr112,false,KR112,KR112 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR112 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR112</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr112/kr112_datasheet.pdf
kr117,false,KR117,KR117 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR117 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR117</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr117/kr117_datasheet.pdf
kr117n30,false,KR117N30,KR117N30 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR117N30 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR117N30</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr117n30/kr117n30_datasheet.pdf
kr118,false,KR118,KR118 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR118 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR118</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr118/kr118_datasheet.pdf
kr119,false,KR119,KR119 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR119 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR119</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr119/kr119_datasheet.pdf
kr119n30,false,KR119N30,KR119N30 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR119N30 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR119N30</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr119n30/kr119n30_datasheet.pdf
kr120,false,KR120,KR120 flush-mount architectural speaker for discreet wall or ceiling integration.,"<h3 dir=""auto"">KR120 flush-mount speaker</h3><p dir=""auto"">A Garvan architectural loudspeaker for discreet wall or ceiling integration, designed to preserve the interior look while delivering clean, reliable sound.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Made for flush or recessed architectural installations</p></li><li data-preset-tag=""p""><p>Customisable magnetic aesthetic covers and finishes</p></li><li data-preset-tag=""p""><p>Suitable for residential, hospitality and home cinema systems</p></li></ul>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Model</td><td>KR120</td></tr><tr><td>Brand</td><td>Garvan Acoustics</td></tr><tr><td>Type</td><td>Loudspeaker</td></tr></tbody></table>,garvan-acoustics,audio,speaker,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/garvan-acoustics/kr120/kr120_datasheet.pdf
