Slug,Product Description,Gallery
air-s18,<h3>Description</h3><p><strong>Main features:<br></strong>• 1300W nominal power<br>• 18” woofer with 4” voice coil<br>• 138 dB Max SPL</p>,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-WH-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-WH-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-WH-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-WH-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-WH-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-WH-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/CL-S18-AIR-S18-iso-1000x1000.jpg"
sub-h18,"<h3>Description</h3><p><strong>Main features:</strong></p><ul><li data-preset-tag=""p""><p>1300W nominal power</p></li><li data-preset-tag=""p""><p>18” woofer with 4” voice coil</p></li><li data-preset-tag=""p""><p>141 dB Peak SPL</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-12-%28-Tripod%2BSub-H18%29-_0002-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-12-%28-Tripod%2BSub-H18%29-_0011-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-%28-Tripod%2BSub-H18%29-_0002-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-%28-Tripod%2BSub-H18%29-_0011-1000x1000.jpg"
cluster-q8,"<h3 dir=""auto"">Description</h3><p dir=""auto"">Cluster Q8 is an installation line array module, based on 4x 6"" LF drivers and 2x 1"" HF drivers with 1,75 voice coil each, providing 8-degree splay angle. Reliable enclosure and carefully designed components make the system perfect option for fixed installations of different sizes. Available in waterproof version.</p><p dir=""auto""><strong>Main features:<br></strong>• 620W nominal power<br>• Four 6” woofers with 1,75” voice coil<br>• Two 1” HF driver with 1,75” voice coil<br>• 138 dB Max SPL<br>• Integrated flying hardware</p><p dir=""auto""><br><br><br></p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-group_2x4_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-group_3x4_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-group_4-top_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q8_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q8_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q8_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q8_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q8_side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Cluster/Cluster-Q8_top-1000x1000.jpg"
nx-15a,"<p dir=""auto"">Description</p><p dir=""auto"">NX 15A is a powered full-range speaker, based on low distortion high performance 15” neodymium woofer and 1,5” neodymium HF driver. Powerful, lightweight, sonically superior and great looking – NX 15A is the speaker of choice of innovative rental companies, tour sound providers and complete sound reinforcement solution designers.</p><p dir=""auto""><strong>Product description:</strong></p><p dir=""auto"">Powered full-range speaker</p><p dir=""auto""><strong>Main features:</strong></p><p dir=""auto"">• 900 + 500 W nominal power</p><p dir=""auto"">• 15” woofer with 3” voice coil</p><p dir=""auto"">• 1,5” HF driver with 2,8” voice coil</p><p dir=""auto"">• 135,5 dB Max SPL</p><p dir=""auto"">• Pole mount adapter, M10 mounting points</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-15-wh-top-1000x1000.jpg"
bee-15a,"<p dir=""auto"">BEE-15A is a powered universal FOH and stage monitoring speaker fitted with a low-distortion 15” coaxial driver with a 3” low-frequency voice coil and a 2,8” voice coil. Its built-in amplifier offers simple controls and unconditional reliable operation, which makes the speakers indispensable for a wide variety of applications.</p><p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>800 W + 400 W amplifier power</p></li><li data-preset-tag=""p""><p>15”, coaxial 3” voice coil</p></li><li data-preset-tag=""p""><p>129,5 dB Peak SPL</p></li><li data-preset-tag=""p""><p>M10 safety point; 35 mm pole socket; 4x M10 flying points</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/Bee-Accessories/ABEE15%2BBEE-15_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/Bee-Accessories/BEE-15%2Bhook2_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-%28-Tripod%2BSub-H18%29-_0002-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-%28-Tripod%2BSub-H18%29-_0011-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-black-white_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-black-white_iso2-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-white_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15-white_monitor_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_bottom-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_horizontal_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_horizontal_iso_no_grill-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_iso_no_grill-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/BEE-15_top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/Bee-Accessories/HBEE15%2BBEE-15_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/Bee-Accessories/VBEE15%2BBEE-15_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Bee-series/Bee-Accessories/VBEE15%2BBEE-15_iso_angle-1000x1000.jpg"
air-s18-ip,"<p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>1300W nominal power</p></li><li data-preset-tag=""p""><p>18” woofer with 4” voice coil</p></li><li data-preset-tag=""p""><p>138 dB Max SPL</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-WH-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-WH-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-WH-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-WH-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-WH-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S18-IP-WH-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/CL-S15-AIR-S15-IP-iso-1000x1000.jpg"
sub-28-ip,"<p dir=""auto""><strong>Product Description:</strong></p><p dir=""auto"">Weather-resistant subwoofer</p><ul dir=""auto""><li data-preset-tag=""p""><p>2000W nominal power</p></li><li data-preset-tag=""p""><p>Two 18” woofers with 4” voice coil</p></li><li data-preset-tag=""p""><p>Efficient vented box design</p></li><li data-preset-tag=""p""><p>144.5 dB Peak SPL</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-top-1000x1000.jpg"
nx-12-ip,"<p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>500 W nominal power</p></li><li data-preset-tag=""p""><p>12” woofer with 3” voice coil</p></li><li data-preset-tag=""p""><p>1,5” HF driver with 2,8” voice coil</p></li><li data-preset-tag=""p""><p>134 dB Max SPL</p></li><li data-preset-tag=""p""><p>M10 mounting points<br><br><br></p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-wh-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-wh-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-wh-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-wh-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-wh-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/NX-series/NX-12-IP-wh-top-1000x1000.jpg"
sub-18a,"<p dir=""auto""><strong>Main features:</strong></p><ul dir=""auto""><li data-preset-tag=""p""><p>2000 W amplifier power</p></li><li data-preset-tag=""p""><p>18” woofer with 4” voice coil</p></li><li data-preset-tag=""p""><p>Efficient vented box design</p></li><li data-preset-tag=""p""><p>139 dB Max SPL</p></li><li data-preset-tag=""p""><p>M20 distance adapter</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/FLY/Fly-Sub-18_top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-WH-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-WH-font-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-WH-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-18-WH-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/Sub-18-with-wheels-1000x1000.jpg"
sub-28a,"<p dir=""auto"">The Sub 28A is the powered (active) version of the dual-18 Sub 28, using two highly efficient 18-inch drivers for heavy low end in mobile rigs and fixed installs.</p><ul dir=""auto""><li data-preset-tag=""p""><p>Powered dual 18-inch subwoofer</p></li><li data-preset-tag=""p""><p>Two efficient 18-inch drivers</p></li><li data-preset-tag=""p""><p>Active version of the Sub 28</p></li></ul>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/SUB-28-A-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/Sub-28-with-wheels-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/Sub-28A-WH_back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/Sub-28A-WH_front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/Sub-28A-WH_iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Subwoofer-series/Sub-28A-WH_main-1000x1000.jpg"
air-s12-ip,"<h3 dir=""auto"">Weather-resistant 12-inch install sub</h3><p dir=""auto"">The AIR-S12 IP is the IP54-rated version of MAG Audio's compact AIR-S12 installation subwoofer. Engineered to extend the AIR series down into the low end, it brings tight, install-friendly bass to fixed systems indoors and out.</p><ul dir=""auto""><li data-preset-tag=""p""><p>12-inch woofer with 3-inch voice coil</p></li><li data-preset-tag=""p""><p>450 W nominal power, 130.5 dB Max SPL</p></li><li data-preset-tag=""p""><p>45 - 300 Hz frequency response (-10 dB)</p></li><li data-preset-tag=""p""><p>4 / 8 Ohm switchable impedance</p></li><li data-preset-tag=""p""><p>Barrier strip connector under gland nut cover plate</p></li></ul><p dir=""auto"">At 29 kg in a compact 620 x 486 x 350 mm cabinet, the AIR-S12 IP is built for outdoor terraces, restaurants, fitness, retail and other permanent installs that need genuine low end without ground-stack PA dimensions.</p>","https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-122-IP-WH-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-top-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-WH-back-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-WH-front-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-WH-iso-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-WH-main-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/AIR-series/AIR-S12-IP-WH-side-1000x1000.jpg,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/MAG/cache/catalog/Accessories/CL-S12-AIR-S12-IP-iso-1000x1000.jpg"
