Slug,:draft,Title,Sub Title,Product Description,Technical Table,Brand,Product Categories,Product Tags,Specsheet
ftbg2401sip,false,FTBG2401SIP,"Wizard Bronze IP gold small
1 button, no camera, no keypad",<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Bronze IP</td></tr><tr><td>Finish</td><td>Bronze gold (copper)</td></tr><tr><td>Size</td><td>Small</td></tr><tr><td>Buttons</td><td>1</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>No</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2401sip/ftbg2401sip_datasheet.pdf
ftbg2402sip,false,FTBG2402SIP,"Wizard Bronze IP gold small 2 buttons, no camera, no keypad",<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Bronze IP</td></tr><tr><td>Finish</td><td>Bronze gold (copper)</td></tr><tr><td>Size</td><td>Small</td></tr><tr><td>Buttons</td><td>2</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>No</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sip/ftbg2402sip_datasheet.pdf
ftbg2402sipvc,false,FTBG2402SIPVC,"Wizard Bronze IP gold small
2 button, with camera, no keypad","<p dir=""auto"">Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Bronze IP</td></tr><tr><td>Finish</td><td>Bronze gold (copper)</td></tr><tr><td>Size</td><td>Small</td></tr><tr><td>Buttons</td><td>2</td></tr><tr><td>Camera</td><td>Yes</td></tr><tr><td>Keypad</td><td>No</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402sipvc/ftbg2402sipvc_datasheet.pdf
ftbg2402skip,false,FTBG2402SKIP,"Wizard Bronze IP gold small buttons, no camera, with keypad",<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Bronze IP</td></tr><tr><td>Finish</td><td>Bronze gold (copper)</td></tr><tr><td>Size</td><td>Small</td></tr><tr><td>Buttons</td><td>2</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>Yes</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2402skip/ftbg2402skip_datasheet.pdf
ftbg2403sipvc,false,FTBG2403SIPVC,"Wizard Bronze IP gold small
3 buttons, with camera, no keypad","<p dir=""auto"">Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Bronze IP</td></tr><tr><td>Finish</td><td>Bronze gold (copper)</td></tr><tr><td>Size</td><td>Small</td></tr><tr><td>Buttons</td><td>3</td></tr><tr><td>Camera</td><td>Yes</td></tr><tr><td>Keypad</td><td>No</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403sipvc/ftbg2403sipvc_datasheet.pdf
ftbg2403skip,false,FTBG2403SKIP,"Wizard Bronze IP gold small 3 buttons, no camera, with keypad",<h3>Description</h3><p>Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>,<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Bronze IP</td></tr><tr><td>Finish</td><td>Bronze gold (copper)</td></tr><tr><td>Size</td><td>Small</td></tr><tr><td>Buttons</td><td>3</td></tr><tr><td>Camera</td><td>No</td></tr><tr><td>Keypad</td><td>Yes</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skip/ftbg2403skip_datasheet.pdf
ftbg2403skipvc,false,FTBG2403SKIPVC,"Wizard Bronze IP gold small
3 buttons, with camera, with keypad","<p dir=""auto"">Looking for something special? The Wizard Bronze IP fills the needs of even the most demanding customer. This surface mounted or flush mounted unit is entirely made out of copper and can therefore be bronzed into different colours.</p>",<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Series</td><td>Wizard Bronze IP</td></tr><tr><td>Finish</td><td>Bronze gold (copper)</td></tr><tr><td>Size</td><td>Small</td></tr><tr><td>Buttons</td><td>3</td></tr><tr><td>Camera</td><td>Yes</td></tr><tr><td>Keypad</td><td>Yes</td></tr></tbody></table>,fasttel,audio,"door-phone,outdoor,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg2403skipvc/ftbg2403skipvc_datasheet.pdf
ft30cc,false,FT30CC,Indoor control panel,"<h3>Description</h3><p>The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p>Apps from other parties can also be installed via the open android structure. Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><p><br></p><p>1. 10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.<br>2. Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.<br>3. Wall or table version.<br>4. Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.<br>5. Recordings of the visitor is stored on the internal HD and can be used later as evidence.<br>6. Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.<br>7. Voice assistance for handsfree control.<br>8. Four loudspeakers and 2 micros deliver an unparalleled audio experience.<br>9. Integrated SIPserver and hands-free phone with contacts list.<br>10. Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.<br>11. Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Display</td><td>10"" HD 1280x800 touchscreen, 12mm thick</td></tr><tr><td>Memory</td><td>4GB RAM + 16GB ROM</td></tr><tr><td>OS</td><td>Android 12 (Google Play Store)</td></tr><tr><td>Connectivity</td><td>Wi-Fi 6 + Bluetooth</td></tr><tr><td>IP cameras</td><td>Up to 50</td></tr><tr><td>Telephony</td><td>Built-in SIP phone, hands-free</td></tr><tr><td>Audio</td><td>4 loudspeakers, 2 microphones</td></tr><tr><td>Power</td><td>PoE or 12V</td></tr><tr><td>Mounting</td><td>Wall or table</td></tr></tbody></table>",fasttel,audio,touch-panel,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft30cc/ft30cc_datasheet.pdf
ftbg30cc,false,FTBG30CC,Indoor control panel,"<h3>Description</h3><p>The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p>Apps from other parties can also be installed via the open android structure. Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><p><br></p><p>1. 10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.<br>2. Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.<br>3. Wall or table version.<br>4. Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.<br>5. Recordings of the visitor is stored on the internal HD and can be used later as evidence.<br>6. Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.<br>7. Voice assistance for handsfree control.<br>8. Four loudspeakers and 2 micros deliver an unparalleled audio experience.<br>9. Integrated SIPserver and hands-free phone with contacts list.<br>10. Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.<br>11. Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Display</td><td>10"" HD 1280x800 touchscreen, 12mm thick</td></tr><tr><td>Memory</td><td>4GB RAM + 16GB ROM</td></tr><tr><td>OS</td><td>Android 12 (Google Play Store)</td></tr><tr><td>Connectivity</td><td>Wi-Fi 6 + Bluetooth</td></tr><tr><td>IP cameras</td><td>Up to 50</td></tr><tr><td>Telephony</td><td>Built-in SIP phone, hands-free</td></tr><tr><td>Audio</td><td>4 loudspeakers, 2 microphones</td></tr><tr><td>Finish</td><td>Bronze gold</td></tr><tr><td>Mounting</td><td>Wall or table</td></tr></tbody></table>",fasttel,audio,"touch-panel,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc/ftbg30cc_datasheet.pdf
ftbg30cc-ftbg30ccdesk,false,FTBG30CC + FTBG30CCDESK,Indoor control panel,"<h3>Description</h3><p>The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p><br></p><p>Apps from other parties can also be installed via the open android structure.<br><br></p><p>Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li></ul><p><br></p><ul><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li></ul><p><br></p><ul><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><p><br></p><p>1. 10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.</p><ul><li data-preset-tag=""p""><p>2. Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li><li data-preset-tag=""p""><p>3. Wall or table version.</p></li><li data-preset-tag=""p""><p>4. Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.</p></li><li data-preset-tag=""p""><p>5. Recordings of the visitor is stored on the internal HD and can be used later as evidence.</p></li><li data-preset-tag=""p""><p>6. Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.</p></li></ul><p><br></p><ul><li data-preset-tag=""p""><p>7. Voice assistance for handsfree control.</p></li><li data-preset-tag=""p""><p>8. Four loudspeakers and 2 micros deliver an unparalleled audio experience.</p></li><li data-preset-tag=""p""><p>9. Integrated SIPserver and hands-free phone with contacts list.</p></li><li data-preset-tag=""p""><p>10. Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.</p></li><li data-preset-tag=""p""><p>11. Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li></ul>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Display</td><td>10"" HD 1280x800 touchscreen</td></tr><tr><td>OS</td><td>Android 12 (Google Play Store)</td></tr><tr><td>Connectivity</td><td>Wi-Fi 6</td></tr><tr><td>IP cameras</td><td>Up to 50</td></tr><tr><td>Telephony</td><td>Built-in SIP phone</td></tr><tr><td>Finish</td><td>Bronze gold</td></tr><tr><td>Includes</td><td>Desk stand (FTBG30CCDESK)</td></tr></tbody></table>",fasttel,audio,"touch-panel,faceplates,install-kit",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbg30cc-ftbg30ccdesk/ftbg30cc-ftbg30ccdesk_datasheet.pdf
ftbr30cc,false,FTBR30CC,Indoor control panel,"<p dir=""auto"">The COMMANDER is an all-in-one device that has no equal: among other things, it makes recordings of your visitors, displays all the cameras around your property, is a phone, provides a connection to any home automation system, and is an alarm clock.</p><p dir=""auto"">Apps from other parties can also be installed via the open android structure. Wall or table model. The commander can be placed on the wall or on a desk pedestal.</p><ul dir=""auto""><li data-preset-tag=""p""><p>All in one indoor monitor. 10” Hd all in one indoor station: videophone, recordings, telephony, camera surveillance, relay activations, alarm clock, Android tablet.</p></li><li data-preset-tag=""p""><p>Choose 1 app of your choice as the main app. The COMMANDER will continue to push this to the fore ground.</p></li><li data-preset-tag=""p""><p>Place the screen where it suits you! Cabling is no longer necessary. The FT600WPS is connected to a normal power socket. The WiFi 6 technology does the rest.</p></li><li data-preset-tag=""p""><p>Alarm clock function.</p></li><li data-preset-tag=""p""><p>Can be used with third-party door phones.</p></li><li data-preset-tag=""p""><p>Fits into both modern and classic interior.</p></li><li data-preset-tag=""p""><p>PoE wiring or 12V</p></li><li data-preset-tag=""p""><p>Automatic detection of ONVIF camera’s, display of RTSP camera’s</p></li></ul><ol dir=""auto""><li data-preset-tag=""p""><p>10” HD 1280×800 touchscreen. Only 12mm thick (4GB RAM + 16GB ROM) + Wi-Fi 6 + Bluetooth.</p></li><li data-preset-tag=""p""><p>Body made of black anti fingerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li><li data-preset-tag=""p""><p>Wall or table version.</p></li><li data-preset-tag=""p""><p>Visitors are always perfectly visible thanks to the 160° camera built in to every Fasttel IP outdoor unit allowing you to choose whether to grant or refuse entry.</p></li><li data-preset-tag=""p""><p>Recordings of the visitor is stored on the internal HD and can be used later as evidence.</p></li><li data-preset-tag=""p""><p>Up to 50 external IP cameras can be integrated. Quad view and manual recording possible.</p></li><li data-preset-tag=""p""><p><br></p></li><li data-preset-tag=""p""><p>Voice assistance for handsfree control.</p></li><li data-preset-tag=""p""><p>Four loudspeakers and 2 micros deliver an unparalleled audio experience.</p></li><li data-preset-tag=""p""><p>Integrated SIPserver and hands-free phone with contacts list.</p></li><li data-preset-tag=""p""><p>Android 12 operating system: installation of third-party apps possible via Google Play Store! Including home automation apps, SONOS,Skype, heating, internet browser, email etc.</p></li><li data-preset-tag=""p""><p>Adjustabgerprint soft touch technology. Front finishing at your choice: aluminium or bronze.</p></li></ol>","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Display</td><td>10"" HD touchscreen</td></tr><tr><td>OS</td><td>Android 12 (Google Play Store)</td></tr><tr><td>Connectivity</td><td>Wi-Fi 6</td></tr><tr><td>IP cameras</td><td>Up to 50</td></tr><tr><td>Telephony</td><td>Built-in SIP phone</td></tr><tr><td>Finish</td><td>Bronze rustic</td></tr><tr><td>Mounting</td><td>Wall or table</td></tr></tbody></table>",fasttel,audio,"touch-panel,faceplates",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ftbr30cc/ftbr30cc_datasheet.pdf
ft600vk,true,FT600VK Kit (without keypad),"Plug & play video kit: 1-button intercom + 7"" monitor + PoE switch","The FT600VK is a plug & play doorphone entry video kit with a 1-button intercom (camera, no keypad), both flush- and surface-mountable (216x116mm), bundled with a 7"" Wi-Fi monitor, 4 app licences and a PoE switch. The outpost is built from black-anodized aluminium finished with real glass, offering a classy look at a budget-friendly price.","<table><tbody><tr><th>Specification</th><th>Value</th></tr><tr><td>Buttons</td><td>1</td></tr><tr><td>Camera</td><td>Yes</td></tr><tr><td>Keypad</td><td>No</td></tr><tr><td>Monitor</td><td>7"" Wi-Fi</td></tr><tr><td>App licences</td><td>4</td></tr><tr><td>Network</td><td>PoE switch included</td></tr><tr><td>Outpost size</td><td>216x116mm, flush/surface mount</td></tr></tbody></table>",fasttel,audio,"door-phone,outdoor,install-kit",https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/Assets/fasttel/ft600vk/ft600vk_datasheet.pdf
