Slug,:draft,Title,Sub Title,Product Description,Technical Table,Thumbnail,Thumbnail:alt,Brand,Product Categories,Product Tags,Specsheet,Gallery
arts,true,ARTS,Art installation speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Arts/AIR-C%20group%203.png,ARTS,mag-audio,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Arts/AIR-C%20group%203.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Arts/AIR-C%20group%204.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Arts/AIR-C_garage_0001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Arts/AIR-S26%20Coffee%20Shop%20HQ%2020001.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Arts/AIR-S26%20Coffee%20Shop%20HQ%2020002.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/AIR-C%20series/Arts/AIR-S26%20Coffee%20Shop%20HQ%2020003.png"
ka-1100,true,KA 1100,Cinema amplifier,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Amplifiers/KA-1100/KA-1100%20Front%20Hi-Res.png,KA 1100,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Amplifiers/KA-1100/KA-1100%20Angle%20Hi-Res.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Amplifiers/KA-1100/KA-1100%20Back%20Hi-Res.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Amplifiers/KA-1100/KA-1100%20Front%20Hi-Res.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Amplifiers/KA-1100/KA-1100%20Front%20Panel%20Brackets%20Hi-Res.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Amplifiers/KA-1100/KA-1100%20Front%20Panel%20Hi-Res.png"
megaphonix-in-room,true,MEGAPHONIX IN ROOM,Freestanding cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Freestanding/Megaphonix%20In-Room/megaphonix_in-room_hi-res.png,MEGAPHONIX IN ROOM,krix,,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Freestanding/Megaphonix%20In-Room/megaphonix_in-room_hi-res.png
megaphonix-in-wall,true,MEGAPHONIX IN WALL,In-wall cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/In-wall/Megaphonix%20In-Wall/megaphonix_in-wall_hi-res.png,MEGAPHONIX IN WALL,krix,,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/In-wall/Megaphonix%20In-Wall/megaphonix_in-wall_hi-res.png
phonix-in-wall,true,PHONIX IN WALL,In-wall cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/In-wall/Phonix%20In-Wall/phonix_in-wall_grille_hi-res.png,PHONIX IN WALL,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/In-wall/Phonix%20In-Wall/phonix_in-wall_grille_hi-res.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/In-wall/Phonix%20In-Wall/phonix_in-wall_hi-res.png"
as-315,true,AS 315,Modular cinema subwoofer,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/AS-315/AS-315.png,AS 315,krix,,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/AS-315/AS-315.png
mx-20-mk2,true,MX 20 MK2,Modular cinema speaker Mk2,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-20%20Mk2/MX-20%20Mk2_Product_Image_Front.png,MX 20 MK2,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-20%20Mk2/MX-20%20Mk2%20product.PNG.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-20%20Mk2/MX-20%20Mk2_Product_Image_Front.png"
mx-30i,true,MX 30I,Modular cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-30i/MX-30i_Product_Image_Front.png,MX 30I,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-30i/MX-30i_Product_Image_Angle.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-30i/MX-30i_Product_Image_Front.png"
mx-40i,true,MX 40I,Modular cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-40i/MX-40i%20Product%20Image_Front.png,MX 40I,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-40i/MX-40i%20Product%20Image_Front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MX-40i/MX_40i_Product_Image_Front.png"
mxi-118,true,MXI 118,Modular cinema subwoofer,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MXi-118/MXi-118_Subwoofer_Front.png,MXI 118,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MXi-118/MXi-118_Subwoofer_Front.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Modular/MXi-118/MXi-118_Subwoofer_angle.png"
megaphonix,true,MEGAPHONIX,On-wall cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Megaphonix/megaphonix_hi-res.png,MEGAPHONIX,krix,,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Megaphonix/megaphonix_hi-res.png
owx-50,true,OWX 50,On-wall cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/OWX-50/OWX-50%20front%20without%20grille.png,OWX 50,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/OWX-50/OWX-50%20back%20with%20bracket.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/OWX-50/OWX-50%20front%20without%20grille.png"
owx-55,true,OWX 55,On-wall cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/OWX-55/OWX-55%20front%20without%20grille.png,OWX 55,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/OWX-55/OWX-55%20back.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/OWX-55/OWX-55%20front%20without%20grille.png"
phonix,true,PHONIX,On-wall cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix/phonix_hi-res.png,PHONIX,krix,,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix/phonix_hi-res.png
phonix-45,true,PHONIX 45,On-wall cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%2045/900x900_Phonix%2045%20Front%20%2B%20Grille.png,PHONIX 45,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%2045/900x900_Phonix%2045%20Angle%20%2B%20Grille.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%2045/900x900_Phonix%2045%20Angle.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%2045/900x900_Phonix%2045%20Angle_No%20BG.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%2045/900x900_Phonix%2045%20Back.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%2045/900x900_Phonix%2045%20Front%20%2B%20Grille.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%2045/900x900_Phonix%2045%20Front.png"
phonix-flat,true,PHONIX FLAT,On-wall flat cinema speaker,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%20Flat/phonix_flat_grille_hi-res.png,PHONIX FLAT,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%20Flat/phonix_flat_grille_hi-res.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/On-wall/Phonix%20Flat/phonix_flat_hi-res.png"
megacyclonix,true,MEGACYCLONIX,Cinema subwoofer,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Subwoofer/Megacyclonix/Megacyclonix.png,MEGACYCLONIX,krix,,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Subwoofer/Megacyclonix/Megacyclonix.png
ucx-218,true,UCX 218,Dual 18-inch cinema subwoofer,,,https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Subwoofer/UCX-218/UCX-218_Horizontal.png,UCX 218,krix,,,,"https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Subwoofer/UCX-218/UCX-218_Horizontal.png, https://raw.githubusercontent.com/madiers/claude-all/claude/blissful-cori-JY3Gi/NEW%20Product%20Pics/KRIX%20Dedicated%20Home%20Cinema%20Product%20Images/Subwoofer/UCX-218/UCX-218_Vertical.png"
